timebound,solar,volcanic
1750,0.1022150391,0.2463910075
1751,0.0978000732,0.24641247
1752,0.0794537842,0.2464196812
1753,0.0493758545,0.2464221032
1754,0.0131980957,0.246422921
1755,-0.0212167969,-0.1167286836
1756,-0.0456941162,-0.0044965501
1757,-0.053276001,0.1562750429
1758,-0.034134082,0.2158749963
1759,0.0172230469,0.2361496875
1760,0.0677221436,0.2429717505
1761,0.0926050781,0.2452638878
1762,0.0864584473,0.2460338601
1763,0.0643680176,-0.890820615
1764,0.0310295654,-0.5395121361
1765,-0.005725415,-0.0359522733
1766,-0.0355693359,0.1507352044
1767,-0.0496878662,0.214242681
1768,-0.0365053711,-0.3132902266
1769,0.0196567383,-0.1364722715
1770,0.0858032227,0.1089447639
1771,0.1174724121,0.1998399031
1772,0.1099217285,0.2307571246
1773,0.0869888672,0.2411600544
1774,0.0510451172,0.2446553102
1775,0.0102963867,0.2458294363
1776,-0.0254289551,0.2462238378
1777,-0.0465833496,0.2463563195
1778,-0.0427768066,0.2464008215
1779,0.0018564697,0.2464157667
1780,0.0732603516,0.2464207871
1781,0.1160371582,0.2464224701
1782,0.1158811523,0.2464230326
1783,0.09159104,0.2464232295
1784,0.0547268555,-2.0611524538
1785,0.0112012207,-1.3499451536
1786,-0.0254913574,-0.3271061433
1787,-0.0447892822,0.0520726791
1788,-0.0310919678,0.1810616709
1789,0.0375194092,0.2244641131
1790,0.1176596191,0.2390468296
1791,0.1448358398,0.2439454788
1792,0.1307329102,0.2455909914
1793,0.1125582275,0.2461437297
1794,0.0817782715,0.2463294057
1795,0.0459125244,0.2463917793
1796,0.0080187012,0.0251823128
1797,-0.0258501709,0.093560599
1798,-0.0508891113,0.1915042212
1799,-0.0631199707,0.2278130192
1800,-0.0605926758,0.2401645355
1801,-0.042386792,0.2443205995
1802,-0.0125116699,0.2457169847
1803,0.0156317871,0.246186063
1804,0.0327924316,0.2463436281
1805,0.0350701172,0.2463965595
1806,0.0265209961,0.2464143387
1807,0.0120436523,0.2464203048
1808,-0.0080031006,0.2464223101
1809,-0.0296567139,0.246422982
1810,-0.0491730469,-3.2831932421
1811,-0.0625895508,-2.2122185784
1812,-0.0672853271,-0.6369268283
1813,-0.0620123291,-0.0529159596
1814,-0.0463337402,0.1457532477
1815,-0.0254289551,0.2126017681
1816,-0.0064586426,-6.4557588646
1817,0.0051481934,-4.7502341038
1818,0.006895459,-1.5605221252
1819,-0.000452417,-0.3662101581
1820,-0.0138533203,0.0403756675
1821,-0.0311699707,0.1771979805
1822,-0.0477689941,0.2231692423
1823,-0.059188623,-0.0159504444
1824,-0.0615911133,0.0678712399
1825,-0.0499686768,0.182334458
1826,-0.0200311523,0.2247082747
1827,0.0133541016,0.2391205049
1828,0.037753418,0.2439698484
1829,0.0451636963,0.2455991617
1830,0.036130957,0.2461464781
1831,0.0163962158,0.2463303338
1832,-0.0101559814,-3.3428339087
1833,-0.0352729248,-2.3130540169
1834,-0.0508423096,-0.6731924624
1835,-0.0482994141,-0.0652062484
1836,-0.0149453613,-1.0268141928
1837,0.0440716553,-0.5963156946
1838,0.0880029053,-0.0555369493
1839,0.0998281494,0.1441335498
1840,0.0861464355,0.2120240771
1841,0.063712793,0.2348664762
1842,0.0309203613,0.2425411631
1843,-0.0039313477,0.2451192599
1844,-0.0342588867,0.2459852751
1845,-0.0527923828,-0.0563503501
1846,-0.0540404297,0.0372741265
1847,-0.041669165,0.1712831884
1848,-0.0293291016,0.2209608171
1849,-0.0169578369,0.2378600859
1850,-0.0045865723,0.2435463848
1851,0.0077551154,0.245486068
1852,0.0022831992,0.2458425229
1853,0.0015031548,0.2384931706
1854,-0.008608617,0.2460232293
1855,-0.0224837782,0.2466493615
1856,-0.0310761535,-0.1737114458
1857,-0.0334938613,-0.0383046033
1858,-0.0274425847,0.146673648
1859,-0.0105823262,0.2137042741
1860,0.0036770795,0.2360166856
1861,0.0142552272,0.2433782007
1862,0.0121377688,0.1183075707
1863,-0.0001130508,0.0942383564
1864,-0.0072900897,-0.692119028
1865,-0.0143651559,-0.3628009834
1866,-0.0200236299,0.0383464636
1867,-0.0229106358,0.1784446682
1868,-0.0273217549,0.2247318747
1869,-0.0175145988,0.2398717841
1870,0.0003080795,0.2448160719
1871,0.0017117476,0.2464303694
1872,0.0125017112,0.2469560199
1873,0.0067810973,0.2409156571
1874,-0.0028748247,0.1332370948
1875,-0.0112237026,0.2406238955
1876,-0.0268640808,0.2471623298
1877,-0.0340416294,0.2191542759
1878,-0.0385858909,0.2284429656
1879,-0.0444149964,0.2406464205
1880,-0.0431331839,0.2422421543
1881,-0.0291447504,0.1941948871
1882,-0.0097652829,0.1929414276
1883,-0.0139293999,0.2438669648
1884,-0.0169046667,-0.2772184652
1885,0.0063035745,-1.8479690877
1886,-0.0081476518,-0.7596845923
1887,-0.0245890879,-0.1576062547
1888,-0.0347705005,-0.0033857995
1889,-0.0387345499,0.1810866267
1890,-0.0401536429,0.2379160075
1891,-0.0366692841,0.0735332451
1892,-0.0111805339,-0.0756281998
1893,0.0096871966,-0.0373445155
1894,0.026166585,0.1507103198
1895,0.0459833468,0.2157740306
1896,0.0272037461,0.2366809402
1897,0.0015728033,0.2426375601
1898,-0.0148354306,0.2441568702
1899,-0.022544941,0.2444019302
1900,-0.0317603995,0.2442873474
1901,-0.0371049465,0.2440696022
1902,-0.0461723917,0.2438473776
1903,-0.0440206649,0.0078887326
1904,-0.0255934237,-0.7005588721
1905,0.0076509365,-0.2457716797
1906,-0.007035736,0.1207768282
1907,0.0169895082,0.2256785587
1908,0.0039974258,0.0634446858
1909,0.0121031988,0.176417571
1910,-0.0047131293,0.2420368715
1911,-0.0171210661,0.2417920454
1912,-0.0351647038,0.2415430948
1913,-0.0420706883,-0.3409978869
1914,-0.0405399818,-0.2489603434
1915,-0.0267759909,0.0525216518
1916,0.0129607531,0.2145135719
1917,0.0449509998,0.2398327877
1918,0.0660889545,0.2399610449
1919,0.0698720325,0.2396852647
1920,0.0372158602,0.2394033794
1921,0.0062470969,0.239117427
1922,-0.0129360059,0.2388273387
1923,-0.030427682,0.0998493089
1924,-0.034474303,0.1641370042
1925,-0.0267142558,0.2379323745
1926,-0.0055766752,0.2376257985
1927,0.0227601436,0.2373151548
1928,0.0464678625,0.2370003551
1929,0.0309290141,0.1982873347
1930,0.0229658149,0.0096175965
1931,0.023177128,0.2360313206
1932,0.0009754427,0.2357000869
1933,-0.0155620533,0.0501376147
1934,-0.0225051916,0.1969343492
1935,-0.0147549914,0.2346816647
1936,0.0118072073,0.2343339787
1937,0.0694911051,0.2339821631
1938,0.0727165963,0.2336262383
1939,0.0622981831,0.2332661892
1940,0.0593962604,0.2329020325
1941,0.0399915906,0.2325337569
1942,0.0242341639,0.232161381
1943,0.0057911512,0.2317848567
1944,-0.0128553957,0.2314042374
1945,-0.0076008101,0.231019498
1946,0.0276846716,0.2306306754
1947,0.0447586794,0.2302376859
1948,0.0901842519,0.2298406128
1949,0.105744011,0.2294394312
1950,0.0907478391,0.2290341141
1951,0.0571584525,0.2286247058
1952,0.0126389109,0.22821116
1953,0.0106619349,0.2277935062
1954,-0.002371802,0.2273717538
1955,-0.0022147276,0.226945857
1956,0.0250557378,0.2265158551
1957,0.0851206757,0.2260817596
1958,0.1409715961,0.2256435167
1959,0.1483486216,0.2252011826
1960,0.1167471345,0.2247547303
1961,0.0951094837,0.2243041762
1962,0.047058505,0.2127160527
1963,0.0136771833,0.0220437663
1964,0.0020844947,-0.8663060422
1965,-0.0032251441,-0.6189029143
1966,-0.0002555932,-0.2984866121
1967,0.0253266751,0.1551610223
1968,0.0570616434,-0.105414249
1969,0.0737984013,0.011417295
1970,0.0767577465,0.0978290012
1971,0.0786875176,0.0936909704
1972,0.0500551852,-0.0434637343
1973,0.0482651865,0.0720323609
1974,0.0194732925,0.202489417
1975,0.0053955374,0.0706504377
1976,0.0056752367,-0.1766556956
1977,0.0010419572,0.0833810452
1978,0.0311250496,0.1680283649
1979,0.0772489726,0.1930150157
1980,0.1159610359,0.1775725169
1981,0.1083227111,0.1323814602
1982,0.1108722102,0.1003390811
1983,0.067596484,-0.2453383922
1984,0.0657857048,-0.7069586845
1985,0.0148043167,-0.2433190495
1986,-0.0023802647,0.0205474613
1987,-0.0002591834,0.0189671764
1988,0.0105844633,0.0969258525
1989,0.0556093116,0.1509358698
1990,0.1173719272,0.1880111598
1991,0.1059518709,0.1836910187
1992,0.1041952022,-0.5286111757
1993,0.0835344456,-1.7412044776
1994,0.0347012595,-0.7475364435
1995,0.0051296009,-0.0409989132
1996,-0.0004875931,0.132348997
1997,-0.012655272,0.1951747143
1998,0.0037012283,0.2157444217
1999,0.0506165499,0.2174028305
2000,0.0850730725,0.2208896532
2001,0.1101368546,0.221536499
2002,0.0995986712,0.2162760859
2003,0.1048686774,0.2230598803
2004,0.0435718809,0.2067048448
2005,0.0167895552,0.2176197499
2006,-0.0096823648,0.1917968612
2007,-0.0156520038,0.1762174443
2008,-0.0271627999,0.1639794737
2009,-0.0296688619,0.1799788028
2010,-0.0297219371,0.1519810813
2011,-0.0075477772,0.1854509292
2012,0.0267788118,0.146092467
2013,0.0411424961,0.1832594973
2014,0.0494336408,0.2060624983
2015,0.0593159067,0.1885038348
2016,0.0294209099,0.1565602453
2017,-0.0073774148,0.176841346
2018,-0.0172567698,0.202710817
2019,-0.0212577431,0.1828340236
2020,-0.0219630605,0.1278481409
2021,-0.0167588229,0.0856186867
2022,0.0197670537,0.1448310302
2023,0.059602872,0.0403810229
2024,0.0821914092,0.0403810229
2025,0.0910470655,0.0358942426
2026,0.0690020755,0.0314074623
2027,0.0440169036,0.026920682
2028,0.0185792721,0.0224339016
2029,0.0083699275,0.0179471213
2030,-0.0086081896,0.013460341
2031,-0.0176867476,0.0089735607
2032,-0.0266198568,0.0044867803
2033,-0.0246291054,0
2034,0,0
2035,0,0
2036,0,0
2037,0,0
2038,0,0
2039,0,0
2040,0,0
2041,0,0
2042,0,0
2043,0,0
2044,0,0
2045,0,0
2046,0,0
2047,0,0
2048,0,0
2049,0,0
2050,0,0
2051,0,0
2052,0,0
2053,0,0
2054,0,0
2055,0,0
2056,0,0
2057,0,0
2058,0,0
2059,0,0
2060,0,0
2061,0,0
2062,0,0
2063,0,0
2064,0,0
2065,0,0
2066,0,0
2067,0,0
2068,0,0
2069,0,0
2070,0,0
2071,0,0
2072,0,0
2073,0,0
2074,0,0
2075,0,0
2076,0,0
2077,0,0
2078,0,0
2079,0,0
2080,0,0
2081,0,0
2082,0,0
2083,0,0
2084,0,0
2085,0,0
2086,0,0
2087,0,0
2088,0,0
2089,0,0
2090,0,0
2091,0,0
2092,0,0
2093,0,0
2094,0,0
2095,0,0
2096,0,0
2097,0,0
2098,0,0
2099,0,0
2100,0,0
2101,0,0
2102,0,0
2103,0,0
2104,0,0
2105,0,0
2106,0,0
2107,0,0
2108,0,0
2109,0,0
2110,0,0
2111,0,0
2112,0,0
2113,0,0
2114,0,0
2115,0,0
2116,0,0
2117,0,0
2118,0,0
2119,0,0
2120,0,0
2121,0,0
2122,0,0
2123,0,0
2124,0,0
2125,0,0
2126,0,0
2127,0,0
2128,0,0
2129,0,0
2130,0,0
2131,0,0
2132,0,0
2133,0,0
2134,0,0
2135,0,0
2136,0,0
2137,0,0
2138,0,0
2139,0,0
2140,0,0
2141,0,0
2142,0,0
2143,0,0
2144,0,0
2145,0,0
2146,0,0
2147,0,0
2148,0,0
2149,0,0
2150,0,0
2151,0,0
2152,0,0
2153,0,0
2154,0,0
2155,0,0
2156,0,0
2157,0,0
2158,0,0
2159,0,0
2160,0,0
2161,0,0
2162,0,0
2163,0,0
2164,0,0
2165,0,0
2166,0,0
2167,0,0
2168,0,0
2169,0,0
2170,0,0
2171,0,0
2172,0,0
2173,0,0
2174,0,0
2175,0,0
2176,0,0
2177,0,0
2178,0,0
2179,0,0
2180,0,0
2181,0,0
2182,0,0
2183,0,0
2184,0,0
2185,0,0
2186,0,0
2187,0,0
2188,0,0
2189,0,0
2190,0,0
2191,0,0
2192,0,0
2193,0,0
2194,0,0
2195,0,0
2196,0,0
2197,0,0
2198,0,0
2199,0,0
2200,0,0
2201,0,0
2202,0,0
2203,0,0
2204,0,0
2205,0,0
2206,0,0
2207,0,0
2208,0,0
2209,0,0
2210,0,0
2211,0,0
2212,0,0
2213,0,0
2214,0,0
2215,0,0
2216,0,0
2217,0,0
2218,0,0
2219,0,0
2220,0,0
2221,0,0
2222,0,0
2223,0,0
2224,0,0
2225,0,0
2226,0,0
2227,0,0
2228,0,0
2229,0,0
2230,0,0
2231,0,0
2232,0,0
2233,0,0
2234,0,0
2235,0,0
2236,0,0
2237,0,0
2238,0,0
2239,0,0
2240,0,0
2241,0,0
2242,0,0
2243,0,0
2244,0,0
2245,0,0
2246,0,0
2247,0,0
2248,0,0
2249,0,0
2250,0,0
2251,0,0
2252,0,0
2253,0,0
2254,0,0
2255,0,0
2256,0,0
2257,0,0
2258,0,0
2259,0,0
2260,0,0
2261,0,0
2262,0,0
2263,0,0
2264,0,0
2265,0,0
2266,0,0
2267,0,0
2268,0,0
2269,0,0
2270,0,0
2271,0,0
2272,0,0
2273,0,0
2274,0,0
2275,0,0
2276,0,0
2277,0,0
2278,0,0
2279,0,0
2280,0,0
2281,0,0
2282,0,0
2283,0,0
2284,0,0
2285,0,0
2286,0,0
2287,0,0
2288,0,0
2289,0,0
2290,0,0
2291,0,0
2292,0,0
2293,0,0
2294,0,0
2295,0,0
2296,0,0
2297,0,0
2298,0,0
2299,0,0
2300,0,0
2301,0,0
2302,0,0
2303,0,0
2304,0,0
2305,0,0
2306,0,0
2307,0,0
2308,0,0
2309,0,0
2310,0,0
2311,0,0
2312,0,0
2313,0,0
2314,0,0
2315,0,0
2316,0,0
2317,0,0
2318,0,0
2319,0,0
2320,0,0
2321,0,0
2322,0,0
2323,0,0
2324,0,0
2325,0,0
2326,0,0
2327,0,0
2328,0,0
2329,0,0
2330,0,0
2331,0,0
2332,0,0
2333,0,0
2334,0,0
2335,0,0
2336,0,0
2337,0,0
2338,0,0
2339,0,0
2340,0,0
2341,0,0
2342,0,0
2343,0,0
2344,0,0
2345,0,0
2346,0,0
2347,0,0
2348,0,0
2349,0,0
2350,0,0
2351,0,0
2352,0,0
2353,0,0
2354,0,0
2355,0,0
2356,0,0
2357,0,0
2358,0,0
2359,0,0
2360,0,0
2361,0,0
2362,0,0
2363,0,0
2364,0,0
2365,0,0
2366,0,0
2367,0,0
2368,0,0
2369,0,0
2370,0,0
2371,0,0
2372,0,0
2373,0,0
2374,0,0
2375,0,0
2376,0,0
2377,0,0
2378,0,0
2379,0,0
2380,0,0
2381,0,0
2382,0,0
2383,0,0
2384,0,0
2385,0,0
2386,0,0
2387,0,0
2388,0,0
2389,0,0
2390,0,0
2391,0,0
2392,0,0
2393,0,0
2394,0,0
2395,0,0
2396,0,0
2397,0,0
2398,0,0
2399,0,0
2400,0,0
2401,0,0
2402,0,0
2403,0,0
2404,0,0
2405,0,0
2406,0,0
2407,0,0
2408,0,0
2409,0,0
2410,0,0
2411,0,0
2412,0,0
2413,0,0
2414,0,0
2415,0,0
2416,0,0
2417,0,0
2418,0,0
2419,0,0
2420,0,0
2421,0,0
2422,0,0
2423,0,0
2424,0,0
2425,0,0
2426,0,0
2427,0,0
2428,0,0
2429,0,0
2430,0,0
2431,0,0
2432,0,0
2433,0,0
2434,0,0
2435,0,0
2436,0,0
2437,0,0
2438,0,0
2439,0,0
2440,0,0
2441,0,0
2442,0,0
2443,0,0
2444,0,0
2445,0,0
2446,0,0
2447,0,0
2448,0,0
2449,0,0
2450,0,0
2451,0,0
2452,0,0
2453,0,0
2454,0,0
2455,0,0
2456,0,0
2457,0,0
2458,0,0
2459,0,0
2460,0,0
2461,0,0
2462,0,0
2463,0,0
2464,0,0
2465,0,0
2466,0,0
2467,0,0
2468,0,0
2469,0,0
2470,0,0
2471,0,0
2472,0,0
2473,0,0
2474,0,0
2475,0,0
2476,0,0
2477,0,0
2478,0,0
2479,0,0
2480,0,0
2481,0,0
2482,0,0
2483,0,0
2484,0,0
2485,0,0
2486,0,0
2487,0,0
2488,0,0
2489,0,0
2490,0,0
2491,0,0
2492,0,0
2493,0,0
2494,0,0
2495,0,0
2496,0,0
2497,0,0
2498,0,0
2499,0,0
2500,0,0
2501,0,0
